employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
36904,SalesMarketing,region_15,Bachelors,m,other,1,29,3,2,0,51,0
62552,SalesMarketing,region_22,Mastersabove,m,sourcing,1,46,3,11,0,51,0
63285,Technology,region_29,Bachelors,m,sourcing,1,31,5,4,0,80,0
74203,Procurement,region_5,Bachelors,m,sourcing,1,28,1,4,0,72,0
75344,SalesMarketing,region_4,Mastersabove,m,other,1,31,4,6,0,50,0
74018,HR,region_7,Mastersabove,f,other,1,37,3,9,0,48,0
34985,Technology,region_5,Bachelors,f,other,2,34,5,8,0,88,1
35930,Procurement,region_2,Bachelors,m,sourcing,1,25,5,3,0,70,1
6708,Operations,region_22,Mastersabove,m,sourcing,1,40,4,4,0,57,0
5515,Operations,region_13,Mastersabove,m,other,1,43,3,7,0,56,1
53373,Operations,region_13,Bachelors,m,other,1,36,1,5,0,56,0
69316,Legal,region_29,Bachelors,m,sourcing,1,29,3,3,0,63,0
41009,Finance,region_13,Bachelors,m,sourcing,2,35,3,2,0,56,0
50622,Analytics,region_25,Mastersabove,m,other,1,34,5,2,0,84,0
30106,SalesMarketing,region_16,Bachelors,f,sourcing,1,32,4,4,0,,0
45157,HR,region_4,Bachelors,m,other,1,27,,1,0,50,0
23523,Technology,region_26,Bachelors,m,sourcing,1,29,3,5,0,75,0
74349,SalesMarketing,region_5,Bachelors,m,sourcing,1,34,1,4,0,48,0
70543,Procurement,region_2,Mastersabove,m,sourcing,1,37,5,7,0,70,0
42245,Procurement,region_22,Bachelors,f,other,1,33,3,3,0,73,0
34405,Procurement,region_2,Mastersabove,f,other,1,33,5,4,0,67,0
4134,SalesMarketing,region_16,Bachelors,f,other,1,39,1,8,0,,0
23599,Technology,region_23,Mastersabove,m,other,1,34,4,7,0,82,0
942,Technology,region_22,Bachelors,m,other,2,32,4,6,0,84,0
5281,SalesMarketing,region_7,Mastersabove,m,other,1,34,4,6,0,53,0
197,Finance,region_12,Bachelors,m,other,1,29,5,6,0,,0
37574,SalesMarketing,region_2,Bachelors,m,sourcing,2,28,1,2,0,50,0
26773,Technology,region_7,Bachelors,f,other,1,28,2,5,0,75,0
70034,Procurement,region_2,Mastersabove,f,other,2,35,3,9,0,70,0
40565,Technology,region_2,Bachelors,f,other,2,40,3,3,0,86,0
17193,SalesMarketing,region_2,Bachelors,f,other,2,27,2,4,0,54,0
76550,Procurement,region_22,Bachelors,f,other,3,26,3,3,0,70,0
53841,Operations,region_2,Bachelors,m,sourcing,1,43,2,12,0,57,0
28314,Finance,region_26,Bachelors,m,other,1,23,,1,0,,0
30196,Analytics,region_25,Bachelors,m,sourcing,1,29,5,6,0,84,0
29757,SalesMarketing,region_14,Bachelors,m,sourcing,1,43,3,15,0,51,0
6073,SalesMarketing,region_2,Bachelors,m,sourcing,3,27,4,4,0,49,0
9863,Procurement,region_27,Bachelors,m,sourcing,1,26,4,4,0,70,0
34306,Procurement,region_13,Bachelors,f,other,1,31,5,5,0,72,0
34041,Operations,region_7,Bachelors,m,other,1,40,4,11,0,58,0
21356,Operations,region_15,Bachelors,f,other,2,39,5,12,0,55,0
29540,Operations,region_2,Bachelors,f,other,2,30,3,6,0,57,0
51669,Technology,region_2,Mastersabove,m,other,1,47,4,4,0,77,0
33825,SalesMarketing,region_17,Bachelors,m,other,1,34,4,7,0,48,1
6254,Operations,region_2,,f,other,1,33,4,9,0,64,0
11645,SalesMarketing,region_23,Mastersabove,m,other,1,41,5,7,0,51,0
3231,Technology,region_7,Bachelors,m,other,1,29,1,4,0,80,0
7030,Analytics,region_31,Bachelors,f,other,1,32,3,4,0,86,0
54198,Procurement,region_7,Mastersabove,f,other,1,47,5,9,0,68,0
62293,Operations,region_27,Bachelors,m,other,1,35,4,3,0,65,0
25312,Technology,region_22,Bachelors,m,other,1,27,4,2,0,75,0
75610,Analytics,region_32,Bachelors,m,other,1,29,1,3,0,81,0
16518,SalesMarketing,region_20,Bachelors,m,sourcing,2,36,3,9,0,49,0
42747,SalesMarketing,region_15,Bachelors,m,other,2,35,1,8,0,39,0
67980,Procurement,region_2,Bachelors,f,sourcing,2,34,3,2,0,70,0
53630,SalesMarketing,region_23,Mastersabove,f,sourcing,1,34,4,5,1,94,1
72423,Operations,region_2,Mastersabove,m,sourcing,1,39,3,2,0,60,0
73022,SalesMarketing,region_25,Bachelors,m,other,1,26,5,2,0,51,0
63976,Operations,region_31,Bachelors,f,sourcing,1,30,5,4,0,56,0
60761,Operations,region_16,,f,other,1,31,4,2,0,62,0
57228,HR,region_2,Mastersabove,m,sourcing,1,44,5,6,0,48,0
14912,SalesMarketing,region_1,Bachelors,m,other,1,38,3,4,0,49,0
22725,Technology,region_26,Bachelors,m,other,1,40,1,3,0,78,0
18981,Legal,region_2,Mastersabove,m,sourcing,1,50,5,6,1,58,0
50845,Procurement,region_19,Mastersabove,m,other,1,44,3,12,0,70,0
11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,69,0
16351,SalesMarketing,region_7,Mastersabove,f,sourcing,1,36,1,2,0,53,0
75881,Analytics,region_27,Bachelors,m,sourcing,1,25,1,4,0,80,0
73200,Operations,region_28,Bachelors,m,sourcing,1,34,5,4,0,58,0
17833,Analytics,region_4,Bachelors,m,sourcing,1,28,,1,0,85,0
58338,Analytics,region_1,Bachelors,m,other,2,30,5,6,0,81,0
40187,Procurement,region_12,Bachelors,m,sourcing,1,35,1,8,0,67,0
70193,Analytics,region_6,Bachelors,m,sourcing,1,33,4,8,0,86,0
27188,Analytics,region_13,Mastersabove,m,other,1,30,3,4,0,80,0
24291,Analytics,region_26,Bachelors,m,other,2,27,5,3,0,85,0
43676,Procurement,region_2,Bachelors,m,other,4,29,,1,0,68,0
52231,Operations,region_2,Bachelors,m,sourcing,1,43,3,3,0,58,0
34241,Analytics,region_22,Bachelors,m,other,2,28,3,5,0,86,0
76661,Procurement,region_17,Bachelors,m,other,1,31,5,3,0,68,0
50595,Operations,region_2,Bachelors,f,other,1,43,4,12,0,58,0
67673,Operations,region_4,Bachelors,f,other,1,35,5,9,0,60,0
10547,SalesMarketing,region_5,Bachelors,m,other,2,35,3,9,0,49,0
73405,Operations,region_2,Mastersabove,m,other,1,50,3,8,0,59,0
73114,HR,region_17,Bachelors,f,other,1,26,4,3,0,50,0
22572,SalesMarketing,region_27,Bachelors,m,sourcing,1,32,3,5,0,52,0
62923,Operations,region_13,Mastersabove,f,other,1,38,5,2,1,93,1
57235,SalesMarketing,region_26,,m,other,1,22,4,2,0,51,0
22300,HR,region_20,Bachelors,m,other,1,28,,1,0,52,0
24090,Procurement,region_14,Bachelors,f,sourcing,1,37,3,9,0,69,0
57298,Analytics,region_2,Bachelors,m,sourcing,2,54,3,9,0,86,0
25629,SalesMarketing,region_11,Bachelors,m,sourcing,1,36,3,8,0,51,0
71339,Technology,region_6,Bachelors,m,other,1,35,3,8,0,78,0
54714,Analytics,region_29,Bachelors,m,other,1,39,3,4,0,85,0
7390,Operations,region_12,Bachelors,f,sourcing,1,31,5,4,0,63,0
9563,Operations,region_31,Bachelors,m,other,2,38,3,7,1,60,0
39107,SalesMarketing,region_22,Bachelors,m,sourcing,1,28,1,2,0,48,0
19445,SalesMarketing,region_7,Bachelors,m,sourcing,3,26,2,3,0,52,0
42636,SalesMarketing,region_26,Bachelors,m,sourcing,1,29,,1,0,54,0
32557,Analytics,region_20,Bachelors,m,sourcing,1,30,3,4,0,84,0
43396,Operations,region_22,Bachelors,m,sourcing,2,37,2,4,0,57,1
24414,R&D,region_2,,m,other,1,25,,1,0,76,0
63237,Technology,region_22,Bachelors,m,referred,1,26,4,2,0,82,0
32838,Technology,region_7,Bachelors,m,other,1,31,4,4,0,78,0
23003,Technology,region_14,Bachelors,f,other,1,38,5,7,0,82,0
45198,SalesMarketing,region_13,Bachelors,m,other,1,39,4,9,0,49,0
40376,SalesMarketing,region_4,Bachelors,m,other,1,30,5,4,1,50,0
60176,Procurement,region_15,Mastersabove,f,other,1,34,5,8,0,67,0
67652,Procurement,region_23,Mastersabove,f,other,1,33,3,5,0,72,0
15476,Technology,region_2,Bachelors,f,other,1,29,5,3,0,78,0
55811,Operations,region_2,Bachelors,m,sourcing,1,28,4,2,0,,0
15737,Finance,region_22,Bachelors,m,sourcing,1,24,,1,0,56,0
10058,Analytics,region_22,Bachelors,m,other,2,26,4,2,0,87,0
73435,Legal,region_22,Bachelors,m,sourcing,1,34,5,4,0,64,0
51255,SalesMarketing,region_27,Bachelors,m,sourcing,1,35,3,7,0,46,0
70060,Technology,region_13,Mastersabove,m,other,1,43,3,14,0,79,0
51473,SalesMarketing,region_15,Bachelors,m,other,1,34,1,8,0,39,0
71904,Technology,region_7,Mastersabove,f,other,2,38,3,10,0,88,0
76080,Operations,region_7,Bachelors,f,other,1,34,1,5,0,54,0
33357,Operations,region_22,Bachelors,m,sourcing,1,41,4,4,0,63,0
53502,Finance,region_7,Bachelors,m,sourcing,2,29,1,4,0,,0
26409,Operations,region_2,Bachelors,m,other,1,33,4,3,0,,0
59608,SalesMarketing,region_2,Mastersabove,f,other,1,41,4,5,0,48,0
28687,Operations,region_2,Mastersabove,m,other,3,38,3,11,0,57,0
34312,Procurement,region_2,Mastersabove,f,other,2,54,4,23,0,66,0
11438,SalesMarketing,region_13,Mastersabove,f,sourcing,2,34,2,8,0,49,0
11794,R&D,region_2,Bachelors,m,other,2,26,5,3,0,87,0
48756,Operations,region_7,Bachelors,f,sourcing,1,35,5,3,0,59,0
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,62,0
13970,Operations,region_33,Mastersabove,m,other,1,36,3,4,0,60,0
49868,Technology,region_5,Bachelors,m,other,1,45,3,15,0,87,0
25261,Procurement,region_7,Mastersabove,m,other,1,38,4,7,0,66,0
44536,SalesMarketing,region_27,Bachelors,f,other,1,26,2,4,0,47,0
55550,Analytics,region_27,,m,sourcing,1,31,3,4,0,85,0
27989,Analytics,region_34,Bachelors,m,sourcing,1,32,3,7,0,87,0
12598,Analytics,region_6,Bachelors,m,sourcing,1,29,4,4,0,78,0
32877,SalesMarketing,region_2,Bachelors,f,other,1,40,3,12,0,50,0
30682,Technology,region_2,Bachelors,m,referred,2,29,4,6,0,75,0
1829,Analytics,region_28,Bachelors,m,other,2,31,5,7,0,87,0
2177,Finance,region_16,Bachelors,m,other,1,32,5,6,0,58,0
51771,Operations,region_17,Bachelors,m,other,1,42,5,11,0,67,0
26026,Procurement,region_15,Bachelors,f,sourcing,1,30,5,3,0,65,0
64977,Procurement,region_16,Bachelors,f,other,1,24,3,2,0,70,0
44585,SalesMarketing,region_30,Bachelors,m,sourcing,1,35,3,7,0,56,0
43562,Technology,region_5,Bachelors,f,sourcing,2,32,1,3,0,80,0
56287,HR,region_2,Bachelors,f,sourcing,1,22,3,2,0,47,0
19100,SalesMarketing,region_2,Bachelors,m,sourcing,2,44,5,14,0,48,0
58203,Operations,region_16,Bachelors,m,other,2,39,3,9,0,58,0
12504,Technology,region_7,Bachelors,f,other,1,46,4,17,0,85,0
49126,Technology,region_15,Bachelors,m,other,1,29,2,5,0,77,0
66469,Finance,region_7,Bachelors,m,other,1,26,1,3,0,59,0
53350,Operations,region_23,Bachelors,m,other,1,35,4,5,0,,0
22031,Procurement,region_2,Bachelors,f,other,1,29,4,2,0,95,1
36185,Technology,region_13,Bachelors,m,sourcing,1,30,2,9,0,79,0
58415,SalesMarketing,region_7,Bachelors,m,other,1,45,4,5,0,50,0
71763,SalesMarketing,region_15,Bachelors,f,other,1,30,1,6,0,47,0
62742,Finance,region_32,Bachelors,m,sourcing,1,28,2,4,0,59,0
33619,Technology,region_2,Mastersabove,m,sourcing,1,46,5,10,0,76,0
41212,Procurement,region_7,Bachelors,m,sourcing,1,27,2,2,0,69,0
40204,SalesMarketing,region_11,Bachelors,m,sourcing,1,34,2,5,0,47,0
59131,Analytics,region_19,Bachelors,m,sourcing,2,32,5,3,0,86,0
12559,Operations,region_22,Bachelors,f,other,1,35,5,10,0,63,0
30433,Procurement,region_27,Bachelors,m,other,1,36,4,3,0,66,0
13150,Procurement,region_2,Mastersabove,f,other,1,58,1,13,0,70,0
9616,Finance,region_31,Bachelors,m,other,1,29,4,4,0,57,0
26563,Procurement,region_2,Bachelors,f,referred,1,33,3,3,0,67,0
38331,Operations,region_16,Bachelors,f,other,1,32,5,6,0,62,0
18651,Legal,region_22,Below Secondary,m,other,1,25,5,2,0,59,0
45004,Procurement,region_13,Bachelors,m,other,4,41,2,9,0,68,0
11892,Procurement,region_12,Bachelors,f,other,1,25,,1,0,69,0
16859,Analytics,region_2,Mastersabove,m,other,1,50,1,7,1,79,0
26107,SalesMarketing,region_26,Bachelors,m,other,1,30,1,7,0,53,0
22511,Technology,region_24,Bachelors,m,sourcing,1,28,,1,0,81,0
22865,Analytics,region_20,Mastersabove,m,other,1,40,5,5,1,83,1
67467,Finance,region_2,Below Secondary,f,other,1,26,3,2,0,,0
2268,Technology,region_13,Bachelors,m,other,1,35,5,8,0,81,0
33517,SalesMarketing,region_7,Mastersabove,m,other,1,37,3,7,0,52,0
27605,Operations,region_22,Mastersabove,m,other,1,34,3,3,0,75,1
69349,Operations,region_8,Bachelors,m,sourcing,1,25,3,2,0,57,0
45496,SalesMarketing,region_2,,m,other,1,22,5,2,0,62,1
66262,Procurement,region_2,Bachelors,f,other,2,26,5,2,0,68,1
55425,Technology,region_2,Bachelors,f,other,1,31,4,7,0,80,0
29543,Finance,region_2,Bachelors,m,sourcing,4,31,5,3,0,60,0
36547,Analytics,region_25,Bachelors,m,sourcing,1,32,3,6,0,86,0
11205,SalesMarketing,region_19,Bachelors,m,sourcing,1,36,5,8,0,48,0
469,Technology,region_2,Bachelors,f,sourcing,1,57,3,19,0,81,0
44703,SalesMarketing,region_2,Bachelors,f,sourcing,1,42,4,9,0,51,0
14847,SalesMarketing,region_20,Bachelors,m,other,1,28,3,3,0,48,0
43689,Analytics,region_12,Bachelors,m,sourcing,2,33,4,3,0,86,0
72157,Analytics,region_2,Bachelors,m,sourcing,1,41,3,3,0,86,0
74579,Operations,region_2,Below Secondary,m,other,2,26,,1,0,,0
51544,Procurement,region_12,Bachelors,f,other,1,32,5,5,1,84,1
5128,Operations,region_2,,m,other,1,48,3,8,0,57,0
37952,Operations,region_26,Mastersabove,m,other,1,41,3,7,0,58,0
39914,Technology,region_2,Mastersabove,m,other,1,31,5,4,0,82,0
74332,SalesMarketing,region_26,Bachelors,m,other,1,37,4,5,0,54,0
42886,Analytics,region_29,Bachelors,m,other,1,30,1,4,0,84,0
53988,Finance,region_2,Below Secondary,m,other,1,26,5,2,0,60,0
49775,SalesMarketing,region_13,Bachelors,m,sourcing,1,44,5,11,0,42,0
66965,Operations,region_7,Bachelors,f,sourcing,1,44,3,10,0,60,0
70197,R&D,region_22,Mastersabove,m,other,1,30,4,2,0,96,1
66210,Operations,region_22,Below Secondary,m,other,1,24,3,2,0,59,0
71008,SalesMarketing,region_27,Bachelors,m,other,1,40,1,10,0,49,0
52132,Technology,region_11,Mastersabove,m,other,1,32,3,5,0,80,0
72604,SalesMarketing,region_2,Bachelors,m,sourcing,1,40,5,7,0,53,0
66802,Technology,region_7,Below Secondary,f,other,2,24,4,3,0,78,0
55730,SalesMarketing,region_26,Bachelors,m,other,1,45,4,15,0,64,1
8284,SalesMarketing,region_2,Bachelors,f,other,1,34,5,5,0,60,1
69715,Operations,region_2,,f,other,1,58,4,18,0,60,0
36117,Technology,region_24,Bachelors,m,sourcing,1,35,3,7,0,82,0
56139,SalesMarketing,region_16,,m,other,1,24,4,2,0,51,0
15924,SalesMarketing,region_23,Bachelors,m,other,1,35,2,8,0,48,0
41776,Technology,region_23,Bachelors,m,sourcing,1,31,1,2,0,81,0
25949,Operations,region_29,Bachelors,m,other,1,33,3,5,0,60,0
51509,HR,region_2,Mastersabove,f,sourcing,1,44,3,14,0,47,0
36936,SalesMarketing,region_28,,m,other,1,24,2,2,0,52,1
25572,Procurement,region_2,Bachelors,m,other,2,34,2,10,0,69,0
11337,SalesMarketing,region_22,Bachelors,m,sourcing,1,37,5,2,0,54,0
34965,Operations,region_26,Bachelors,m,other,2,31,3,4,0,63,0
38318,Procurement,region_19,Bachelors,m,other,1,32,3,8,0,69,0
60969,Operations,region_2,Bachelors,f,other,1,33,5,7,0,57,0
72765,Operations,region_2,,f,sourcing,1,53,3,11,0,57,0
16951,Operations,region_22,Bachelors,m,sourcing,2,37,5,4,0,57,0
54416,SalesMarketing,region_15,Bachelors,m,sourcing,1,30,2,5,0,49,0
4585,Analytics,region_15,Bachelors,m,sourcing,1,35,5,3,0,81,0
64140,Technology,region_11,Bachelors,m,sourcing,1,32,3,4,0,80,0
